"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"1","01001","2021",11,11,0,274126.818181818,2551.27272727273,107
"2","01002","2021",3,3,0,163766.666666667,1290,120.666666666667
"3","01004","2021",249,147,102,195581.831325301,2313.82329317269,86.3895582329317
"4","01005","2021",22,18,4,290837.590909091,2970.04545454545,99.5909090909091
"5","01006","2021",5,4,1,171560,1631.8,104.8
"6","01007","2021",25,22,3,233142.4,2352.4,103.52
"7","01008","2021",12,12,0,214693.333333333,2347.08333333333,89.9166666666667
"8","01009","2021",4,2,2,189000,2001.25,93.75
"9","01010","2021",16,14,2,200618.125,1992.0625,108.3125
"10","01011","2021",4,4,0,202075,1953.5,107
"11","01012","2021",13,13,0,156485.538461538,1476.30769230769,107
"12","01013","2021",1,1,0,115000,1250,92
"13","01014","2021",29,23,6,197483.448275862,1810.44827586207,111.275862068966
"14","01015","2021",5,5,0,248160,2250.4,109.6
"15","01016","2021",6,6,0,173811.666666667,1688.66666666667,100.5
"16","01017","2021",17,12,5,81135.2352941177,1063.58823529412,79.4705882352941
"17","01021","2021",21,16,5,310160,2897.38095238095,116.904761904762
"18","01022","2021",18,16,2,157456.888888889,1799.55555555556,91.9444444444444
"19","01024","2021",42,39,3,247120.785714286,2254.92857142857,111.309523809524
"20","01025","2021",41,41,0,211921.56097561,1933.65853658537,106.951219512195
"21","01026","2021",9,8,1,198096.888888889,1789.77777777778,110.444444444444
"22","01027","2021",28,19,9,274616.428571429,2964.39285714286,88.9285714285714
"23","01028","2021",11,11,0,244000,2358.27272727273,107.545454545455
"24","01029","2021",9,9,0,149860.111111111,1662.11111111111,95.2222222222222
"25","01030","2021",18,5,13,149222.444444444,2102.44444444444,68.0555555555556
"26","01031","2021",46,20,26,128500,1615.45652173913,76.1304347826087
"27","01032","2021",28,18,10,284267.964285714,2885.96428571429,103.035714285714
"28","01033","2021",282,95,187,194794.212765957,2424.24822695035,79.9751773049645
"29","01034","2021",154,91,63,175913.350649351,1847.28571428571,94.7012987012987
"30","01036","2021",16,16,0,178076.625,1482.0625,119.8125
"31","01037","2021",8,8,0,129937.5,1188.375,105.375
"32","01038","2021",11,11,0,220666.363636364,2106.54545454545,110.909090909091
"33","01039","2021",8,8,0,149720.875,1428.25,111
"34","01040","2021",5,5,0,168600,1773.4,96
"35","01041","2021",16,15,1,207315.625,2107.25,99.9375
"36","01042","2021",3,3,0,309000,2154.33333333333,143.666666666667
"37","01043","2021",67,50,17,365228.223880597,3659.83582089552,102.985074626866
"38","01044","2021",9,9,0,305734.222222222,3186.44444444444,101.555555555556
"39","01045","2021",5,4,1,312000,2365.2,152.4
"40","01046","2021",18,18,0,267478.611111111,2060.11111111111,135.055555555556
"41","01047","2021",12,12,0,313300,3136.5,99.3333333333333
"42","01049","2021",51,44,7,344511.215686275,3513.94117647059,99.9411764705882
"43","01050","2021",7,7,0,231495,2053.14285714286,116.857142857143
"44","01051","2021",3,3,0,132333.333333333,1037.66666666667,130.666666666667
"45","01052","2021",6,6,0,548843.333333333,2739.66666666667,185
"46","01053","2021",712,153,559,151251.126404494,1959.78370786517,78.5660112359551
"47","01054","2021",12,12,0,369145.833333333,2968.5,131.416666666667
"48","01056","2021",8,8,0,100875,1165.875,89.25
"49","01057","2021",11,11,0,165174.090909091,1812.45454545455,100
"50","01058","2021",15,13,2,168864.333333333,2077.86666666667,85.5333333333333
"51","01060","2021",12,7,5,110108.333333333,1019.25,109.166666666667
"52","01061","2021",15,13,2,230448,2170.6,108.4
"53","01062","2021",14,13,1,340139,2994.14285714286,112.285714285714
"54","01063","2021",6,4,2,148608,2011.33333333333,75.6666666666667
"55","01064","2021",21,21,0,201506.952380952,1972.33333333333,102.285714285714
"56","01065","2021",16,16,0,260996.375,2554.75,107.25
"57","01066","2021",3,3,0,78333.3333333333,1086.66666666667,60
"58","01067","2021",2,2,0,207500,1999.5,103
"59","01068","2021",16,15,1,127703.125,1423.75,98.375
"60","01069","2021",25,22,3,203129.8,2192.4,91.88
"61","01071","2021",95,49,46,503729.652631579,4660.82105263158,107.884210526316
"62","01072","2021",76,49,27,215314.434210526,2245.86842105263,96.6710526315789
"63","01073","2021",10,10,0,214809,2022.8,101.7
"64","01074","2021",30,19,11,217823.333333333,2217.96666666667,100.633333333333
"65","01075","2021",27,24,3,328131.407407407,2969.11111111111,114
"66","01076","2021",6,6,0,55323.8333333333,540.833333333333,113
"67","01077","2021",3,3,0,195333.333333333,2146.66666666667,101
"68","01078","2021",17,15,2,509707.058823529,4557,117.764705882353
"69","01079","2021",10,10,0,233588.4,2142,109.2
"70","01080","2021",6,6,0,142166.666666667,1216.16666666667,120
"71","01081","2021",11,11,0,256321.818181818,2560.18181818182,104.363636363636
"72","01082","2021",8,7,1,211375.125,2024.875,99.5
"73","01083","2021",13,13,0,286536.923076923,2783.69230769231,103.692307692308
"74","01084","2021",13,13,0,252600,2072.23076923077,122.461538461538
"75","01085","2021",5,5,0,234040,2476.2,93
"76","01087","2021",1,1,0,86000,573,150
"77","01088","2021",14,8,6,240664.285714286,3153.85714285714,77.1428571428571
"78","01089","2021",15,15,0,250340,2170.06666666667,113.666666666667
"79","01090","2021",3,3,0,215000,2161.33333333333,92.3333333333333
"80","01092","2021",27,26,1,265970.37037037,2575.96296296296,104.074074074074
"81","01093","2021",84,43,41,240590.297619048,2411.64285714286,99.5714285714286
"82","01094","2021",16,16,0,141625,1468.5625,99.9375
"83","01095","2021",15,14,1,150556,1550.53333333333,89.3333333333333
"84","01096","2021",15,14,1,208441.333333333,1981.33333333333,104.866666666667
"85","01098","2021",14,12,2,251875.714285714,2244.57142857143,119.714285714286
"86","01099","2021",27,22,5,244369.518518519,2443.92592592593,103.888888888889
"87","01100","2021",1,1,0,166200,1511,110
"88","01102","2021",10,10,0,195922,1626.6,117.9
"89","01103","2021",55,31,24,487755.036363636,4761.65454545455,102.709090909091
"90","01104","2021",10,9,1,182300,2086.8,91.8
"91","01105","2021",27,22,5,374959.555555556,3148.74074074074,122.111111111111
"92","01106","2021",3,3,0,158541.666666667,1631.66666666667,95.3333333333333
"93","01107","2021",2,2,0,154500,1571.5,89
"94","01108","2021",19,18,1,176856.473684211,1565.05263157895,115.684210526316
"95","01109","2021",61,39,22,327491.68852459,3573.88524590164,93.3114754098361
"96","01110","2021",2,2,0,131750,1392,101.5
"97","01111","2021",5,5,0,159900,1464.6,119.8
"98","01112","2021",4,4,0,173262.5,1533.25,113.5
"99","01113","2021",9,9,0,239888.888888889,2000.55555555556,125.777777777778
"100","01114","2021",8,8,0,360879.625,2691,130.5
"101","01115","2021",21,16,5,189000,1794.95238095238,114.809523809524
"102","01116","2021",10,8,2,114450,1555.9,81.6
"103","01117","2021",1,1,0,240000,1600,150
"104","01118","2021",26,22,4,207917.807692308,2394,91.1923076923077
"105","01121","2021",1,1,0,50000,500,100
"106","01123","2021",16,16,0,243637.5,2240.6875,108.875
"107","01124","2021",17,17,0,158972.941176471,1566.52941176471,100.823529411765
"108","01125","2021",10,9,1,107039,1132.3,94
"109","01127","2021",7,7,0,180454.285714286,1808.71428571429,118.857142857143
"110","01128","2021",7,7,0,198571.428571429,1699.57142857143,116.428571428571
"111","01129","2021",5,5,0,227585,2192.6,102
"112","01130","2021",19,19,0,207576.315789474,1799.94736842105,122.105263157895
"113","01133","2021",2,2,0,231425,1679,129
"114","01134","2021",25,25,0,237521.6,2213,108.96
"115","01135","2021",29,20,9,589631.655172414,5268.37931034483,115.965517241379
"116","01136","2021",13,13,0,277605.384615385,1990.46153846154,152.846153846154
"117","01138","2021",51,37,14,160042.333333333,1885.41176470588,88.1764705882353
"118","01139","2021",13,13,0,131462.307692308,1233.46153846154,110.923076923077
"119","01140","2021",11,11,0,206192,1982.54545454545,106.090909090909
"120","01141","2021",10,10,0,248430,1875,139.3
"121","01142","2021",57,40,17,282445.98245614,2871.91228070175,100.19298245614
"122","01143","2021",219,73,146,580465.945205479,5601.37899543379,104.96803652968
"123","01145","2021",21,20,1,238343.857142857,2225.61904761905,121.619047619048
"124","01146","2021",6,6,0,261991.666666667,2442,111.166666666667
"125","01147","2021",3,3,0,100833.333333333,982.333333333333,108.333333333333
"126","01148","2021",18,16,2,188194.444444444,1975.33333333333,95
"127","01149","2021",7,6,1,282142.857142857,2890.57142857143,95.5714285714286
"128","01150","2021",3,3,0,255000,1606,155.333333333333
"129","01151","2021",19,19,0,198605.263157895,1778.05263157895,124.736842105263
"130","01152","2021",17,11,6,192555.882352941,1944.94117647059,110
"131","01153","2021",39,35,4,668049.153846154,4886.82051282051,136.794871794872
"132","01155","2021",4,4,0,92985,933.25,102.25
"133","01156","2021",8,8,0,340167.5,2916.75,119.5
"134","01157","2021",33,26,7,312029.393939394,2753.48484848485,116.848484848485
"135","01158","2021",17,13,4,430128,4292.94117647059,102.705882352941
"136","01159","2021",36,35,1,210858.194444444,2022.55555555556,108.305555555556
"137","01160","2021",172,16,156,311920.715116279,4297.68023255814,73.5116279069767
"138","01162","2021",1,1,0,145000,1543,94
"139","01163","2021",31,31,0,174296.774193548,1847.77419354839,96.9032258064516
"140","01165","2021",24,24,0,294110,2516.25,129.458333333333
"141","01166","2021",41,36,5,306310.536585366,2921.46341463415,105.560975609756
"142","01167","2021",11,11,0,290421.636363636,2143.54545454545,134.454545454545
"143","01169","2021",14,11,3,252602.142857143,2805.78571428571,89.5
"144","01170","2021",13,13,0,244363.076923077,2053.92307692308,118.307692307692
"145","01171","2021",14,13,1,197317.857142857,1992.07142857143,97.4285714285714
"146","01173","2021",225,57,168,343535.115555556,4168.68888888889,81.9777777777778
"147","01174","2021",3,3,0,145816.666666667,1212.33333333333,119
"148","01175","2021",12,12,0,188325,1914.91666666667,103.25
"149","01177","2021",1,1,0,225000,1607,140
"150","01179","2021",22,22,0,230579.545454545,1841.27272727273,126.681818181818
"151","01180","2021",16,12,4,603284.8125,5023.875,118.3125
"152","01181","2021",11,11,0,251400,2310.45454545455,105.181818181818
"153","01183","2021",31,30,1,293344,2654.51612903226,115.548387096774
"154","01184","2021",17,17,0,184765.411764706,2069.35294117647,93.9411764705882
"155","01185","2021",62,48,14,128988.14516129,1345.12903225806,95.5161290322581
"156","01187","2021",19,14,5,142531.578947368,1720.26315789474,93.3157894736842
"157","01188","2021",11,11,0,287186.363636364,2374.90909090909,120.909090909091
"158","01189","2021",10,9,1,244600,2555,101.5
"159","01190","2021",2,2,0,85000,889.5,93.5
"160","01191","2021",4,4,0,150500,1347,124
"161","01192","2021",29,29,0,155008.344827586,1652.34482758621,96.1724137931034
"162","01193","2021",2,2,0,130000,1412.5,104
"163","01194","2021",83,52,31,301637.204819277,3061.74698795181,97.6385542168675
"164","01195","2021",26,17,9,169869.230769231,1730.96153846154,96.0384615384615
"165","01196","2021",20,20,0,199175,1935.75,106.15
"166","01197","2021",8,8,0,212813.625,2962.75,96.125
"167","01198","2021",1,1,0,442250,2617,169
"168","01199","2021",40,25,15,121709.275,1430.95,82.9
"169","01200","2021",3,3,0,127333.333333333,1144,114.666666666667
"170","01202","2021",102,61,41,197633.490196078,2238.19607843137,93.4607843137255
"171","01203","2021",20,17,3,250053.55,2125.85,120.65
"172","01204","2021",10,9,1,187700,1696.8,109.1
"173","01206","2021",2,2,0,176000,1941.5,93
"174","01207","2021",5,5,0,363400,3553.6,125.8
"175","01208","2021",2,2,0,137200,1322.5,103
"176","01209","2021",22,14,8,251523.272727273,2904.18181818182,90.8181818181818
"177","01210","2021",52,5,47,77629.0384615385,2039.76923076923,38.0961538461538
"178","01211","2021",19,19,0,266815.789473684,1960.57894736842,125.210526315789
"179","01212","2021",23,22,1,123921.739130435,1268.5652173913,105.782608695652
"180","01213","2021",17,17,0,252882.352941176,2448.17647058824,106.647058823529
"181","01214","2021",5,5,0,183800,1648.2,114.4
"182","01215","2021",2,2,0,309437.5,1287.5,184
"183","01216","2021",19,18,1,183868.421052632,1919.21052631579,93.9473684210526
"184","01219","2021",1,1,0,145000,1115,130
"185","01224","2021",45,33,12,263147.888888889,2847.66666666667,95
"186","01225","2021",2,1,1,292500,2103,152.5
"187","01227","2021",10,10,0,179103.6,1814.4,101.8
"188","01228","2021",3,2,1,125666.666666667,1351,100.666666666667
"189","01229","2021",16,13,3,211716.8125,1989.4375,112.0625
"190","01230","2021",8,8,0,145250,1509.125,102
"191","01231","2021",17,17,0,205336.588235294,1869.41176470588,112.470588235294
"192","01232","2021",27,26,1,193698.148148148,1675.37037037037,118.148148148148
"193","01233","2021",4,4,0,122000,1319.5,93.75
"194","01234","2021",4,4,0,166300,2033.5,82.25
"195","01235","2021",8,8,0,311000,2343.25,162.875
"196","01236","2021",15,15,0,238385.333333333,2231.33333333333,122.733333333333
"197","01237","2021",9,9,0,264561.666666667,2289.33333333333,123.888888888889
"198","01238","2021",33,31,2,364630.606060606,3390.69696969697,109.969696969697
"199","01239","2021",9,9,0,336277.777777778,2680.22222222222,121.888888888889
"200","01240","2021",13,13,0,159335.923076923,1676.69230769231,97
"201","01241","2021",16,16,0,218034.375,1974.1875,105.625
"202","01242","2021",3,3,0,73000,1161.33333333333,61
"203","01243","2021",33,33,0,347918.787878788,3181.51515151515,115.424242424242
"204","01244","2021",98,63,35,258090.408163265,2798.17346938776,94.5
"205","01245","2021",15,15,0,180613.333333333,2054.4,100.866666666667
"206","01246","2021",31,28,3,208283.387096774,1876.87096774194,109.387096774194
"207","01247","2021",39,10,29,117162.051282051,2719.94871794872,41.8205128205128
"208","01248","2021",17,12,5,399160,3626.17647058824,115.764705882353
"209","01249","2021",133,67,66,312710.037593985,3490.26315789474,88.3308270676692
"210","01250","2021",21,19,2,358086.714285714,3042.38095238095,118.285714285714
"211","01252","2021",11,11,0,248487,2555,94.9090909090909
"212","01254","2021",20,20,0,322695,2489.1,131.35
"213","01255","2021",6,5,1,175340,1969.16666666667,95.3333333333333
"214","01257","2021",2,2,0,356297.5,2090,166
"215","01258","2021",17,17,0,337247.058823529,2835.29411764706,127.411764705882
"216","01259","2021",5,5,0,310872,2277.2,133.6
"217","01260","2021",2,2,0,316850,2883.5,116.5
"218","01261","2021",5,5,0,354300,3308,104.6
"219","01262","2021",141,52,89,214423.09929078,2653.85815602837,82.6241134751773
"220","01263","2021",70,63,7,305708.214285714,2876.68571428571,108.128571428571
"221","01264","2021",8,8,0,194500,1858.125,101.125
"222","01265","2021",27,13,14,134533.333333333,1669.55555555556,82.3333333333333
"223","01266","2021",54,30,24,173391.796296296,1880.92592592593,96.3518518518518
"224","01267","2021",5,5,0,144000,1579.8,95
"225","01268","2021",8,8,0,232241.375,2205,122.875
"226","01269","2021",47,18,29,124328.29787234,1289.42553191489,97.1063829787234
"227","01272","2021",18,14,4,211541.111111111,1943.5,109.222222222222
"228","01273","2021",27,24,3,200496.296296296,2263.77777777778,94.9259259259259
"229","01274","2021",9,9,0,137637.333333333,1662.22222222222,93.3333333333333
"230","01275","2021",30,23,7,471190,4164.9,112.166666666667
"231","01276","2021",17,17,0,386108.117647059,3578.29411764706,110.705882352941
"232","01277","2021",4,4,0,89650,1181,68.25
"233","01279","2021",2,2,0,72500,1546.5,62
"234","01280","2021",4,4,0,120425,1223.75,97
"235","01281","2021",78,32,46,462965.435897436,4722.47435897436,99.6666666666667
"236","01282","2021",2,2,0,163750,1311,125
"237","01283","2021",202,79,123,139913.158415842,1571.83663366337,87.9405940594059
"238","01284","2021",6,6,0,199016.666666667,2098,95.3333333333333
"239","01285","2021",17,16,1,408522.352941176,3708.11764705882,110.529411764706
"240","01286","2021",11,11,0,203986.363636364,2072.54545454545,98.3636363636364
"241","01288","2021",60,33,27,357450.2,3640.45,96.1
"242","01289","2021",83,51,32,206802.78313253,2170.30120481928,95.6024096385542
"243","01290","2021",25,17,8,262444.6,2874.4,92.4
"244","01291","2021",6,6,0,214666.666666667,1967,110.5
"245","01293","2021",3,3,0,196000,1663.66666666667,112.333333333333
"246","01294","2021",17,17,0,238265.882352941,1979.05882352941,121.823529411765
"247","01295","2021",12,10,2,283629.166666667,2550.58333333333,113.166666666667
"248","01296","2021",5,5,0,179600,1615,113.6
"249","01297","2021",8,8,0,283712.5,2720.125,105.875
"250","01298","2021",2,2,0,177500,1439.5,123
"251","01299","2021",5,5,0,295600,2569.8,114
"252","01301","2021",32,29,3,229386.03125,2155.5625,114.09375
"253","01302","2021",2,2,0,102500,1899,69.5
"254","01303","2021",32,30,2,142343.75,1504.25,95.3125
"255","01304","2021",46,33,13,168059.543478261,1876.73913043478,89.5
"256","01305","2021",36,22,14,150289.444444444,1576.11111111111,94.75
"257","01306","2021",27,13,14,120812.740740741,1496.81481481481,82.5185185185185
"258","01307","2021",3,0,3,72666.6666666667,1613,45.3333333333333
"259","01308","2021",14,14,0,479669.285714286,3966.28571428571,133.5
"260","01309","2021",2,2,0,116500,1641,69.5
"261","01310","2021",5,5,0,156100,1487.2,116
"262","01311","2021",2,2,0,75500,2055,60
"263","01313","2021",179,99,80,525649.720670391,5192.24022346369,101.284916201117
"264","01314","2021",36,35,1,216952.361111111,2097.11111111111,107.083333333333
"265","01317","2021",6,6,0,176666.666666667,1990.16666666667,88.1666666666667
"266","01318","2021",7,7,0,314428.571428571,3114,109.285714285714
"267","01319","2021",7,7,0,339628.571428571,2496.85714285714,147.142857142857
"268","01320","2021",38,34,4,202547.894736842,2035.02631578947,102.473684210526
"269","01321","2021",18,17,1,243186.444444444,2246.27777777778,103.166666666667
"270","01322","2021",61,52,9,392615.426229508,3458.44262295082,118.655737704918
"271","01323","2021",10,9,1,152190,1476.5,98.3
"272","01325","2021",12,12,0,276979.166666667,2772.83333333333,96.25
"273","01328","2021",7,7,0,323142.857142857,2621.57142857143,131.142857142857
"274","01329","2021",6,5,1,78166.6666666667,982.333333333333,86.6666666666667
"275","01330","2021",5,5,0,172244,1109,184.8
"276","01331","2021",3,3,0,121666.666666667,1322.66666666667,90.6666666666667
"277","01332","2021",13,13,0,244753.846153846,2193.07692307692,113
"278","01333","2021",41,23,18,268603.170731707,3117.12195121951,89.9268292682927
"279","01334","2021",8,8,0,215437.5,2074.125,105.25
"280","01335","2021",6,6,0,323623.333333333,2932.33333333333,115.166666666667
"281","01336","2021",16,16,0,237916.875,2474.125,99.375
"282","01337","2021",11,11,0,154110,1591.18181818182,98.4545454545455
"283","01338","2021",24,24,0,207651.125,1721.95833333333,130.625
"284","01339","2021",24,23,1,486083.666666667,4564.29166666667,109.583333333333
"285","01342","2021",8,7,1,373682.5,3248.75,125.125
"286","01343","2021",23,23,0,261275.652173913,2090.69565217391,122.826086956522
"287","01344","2021",77,64,13,227224.805194805,2305.98701298701,99.5974025974026
"288","01345","2021",30,23,7,174992.3,1910.03333333333,91.1333333333333
"289","01346","2021",17,12,5,140120.058823529,1445.05882352941,92.5294117647059
"290","01347","2021",28,28,0,446407.678571429,3398.14285714286,133.5
"291","01348","2021",34,28,6,216972.058823529,2081.52941176471,107.382352941176
"292","01349","2021",4,4,0,461652.5,3325.75,139.25
"293","01350","2021",32,28,4,193696.28125,2168.59375,93.96875
"294","01351","2021",18,15,3,191913.333333333,2008.55555555556,99.3333333333333
"295","01352","2021",10,10,0,194256,1629.7,119.8
"296","01353","2021",17,16,1,341768.058823529,3330.47058823529,105.352941176471
